"","transit","driving","walking","bicycling"
"Pacs del Penedes",NA,8047,120744,33478
"Palafolls",NA,9370.5,118497,38248
"Palafrugell",NA,10278,120146,36326
"Palamos",NA,9875,123454,41307
"Palau d'Anglesola",NA,8391,124912,34726
"Palau de Santa Eulalia",NA,9900.5,98333,30409
"Palau-sator",NA,10510,115058,35203
"Palau-saverdera",NA,10947.875,109468,33155
"Palau-solita i Plegamans",NA,7228,99505,29235
"Pallaresos",NA,9872,147425,40570
"Palleja",NA,7191,113113,29259
"Palma d'Ebre",NA,12212,167020,47781
"Palma de Cervello",NA,7641,116795,30582
"Palol de Revardit",NA,8847,90056,28971
"Pals",NA,NA,NA,NA
"Papiol",NA,7434.5,114039,29609
"Pardines",NA,5893,45855,14054.875
"Parets del Valles",NA,7228,103863,30798
"Parlava",NA,9808,108545,33392
"Passanant i Belltall",NA,8940,120919,34067
"Pau",NA,16113,226645,70183
"Pauls",NA,NA,NA,NA
"Pedret i Marza",NA,10325.875,104290,31727
"Penelles",NA,8632,118147,33865
"Pera",NA,NA,NA,NA
"Perafita",NA,42241,817877,224484
"Perafort",NA,9847,146988,40354
"Peralada",NA,10226,101522,31153
"Peramola",NA,6451,88730,22341
"Perello",NA,NA,NA,NA
"Piera",NA,7193,101175,28194
"Piles",NA,NA,NA,NA
"Pineda de Mar",NA,9254,123885,39686
"Pinell de Brai",NA,13110,196534,56036
"Pinell de Solsones",NA,7392,80837,22106
"Pinos",NA,NA,NA,NA
"Pira",NA,NA,NA,NA
"Pla de Santa Maria",NA,9604.75,131900,35825
"Pla del Penedes",NA,7494,115562,31907
"Planes d'Hostoles",NA,7840,76341,26015
"Planoles",NA,4670,38560,14199
"Plans de Sio",NA,7691,101858,28715
"Poal",NA,8680,126095,34907
"Pobla de Cervoles",NA,10503,144244,40100
"Pobla de Claramunt",NA,6544,100504,26624
"Pobla de Lillet",NA,3214,17837,6477
"Pobla de Mafumet",NA,9794,149817,40907
"Pobla de Massaluca",NA,13121,192087,53697
"Pobla de Montornes",NA,9191,145742,40670
"Pobla de Segur",NA,8266,109862,31448
"Poboleda",NA,11940,164732,48490
"Polinya",NA,7219,103032.875,29687
"Pont d'Armentera",NA,9025,126743,34453
"Pont de Bar",NA,3177,52364,10782
"Pont de Molins",NA,9947.375,100613,30765
"Pont de Suert",NA,10771,143877,39555
"Pont de Vilomara i Rocafort",NA,5710.375,79797,21208
"Pontils",NA,8229,116564,31694
"Pontons",NA,8940,119554,32738
"Pontos",NA,NA,NA,NA
"Ponts",NA,NA,NA,NA
"Porqueres",NA,9210,84177,27360
"Porrera",NA,11305,168397,47441
"Port de la Selva",NA,11837.875,120318,36273
"Portbou",NA,11955.875,123519,36587
"Portella",NA,NA,NA,NA
"Pradell de la Teixeta",NA,11020,174138,46234
"Prades",NA,6742,69785,24538
"Prat de Comte",NA,13807,204015,58065
"Prat de Llobregat",NA,7992,125255,32857
"Pratdip",NA,11126,174040,47517
"Prats de Llucanes",NA,4739,51971,15003
"Prats de Rei",NA,6593,90313,26244
"Prats i Sansor",NA,2114,15542,7814
"Preixana",NA,8141,117737,32873
"Preixens",NA,8350,111153,32015
"Premia de Dalt",NA,7981,115456,35513
"Premia de Mar",NA,7937,116604,35384
"Preses",NA,7200,63625,21612
"Prullans",NA,2560,16550,7816
"Puigcerda",NA,2809,23431,9537
"Puigdalber",NA,7336,117033,31869
"Puiggros",NA,8791,129559,35886
"Puigpelat",NA,9363,137724,37749
"Puig-reig",NA,4232,52327,13026
"Puigverd d'Agramunt",NA,7889,107201,30508
"Puigverd de Lleida",NA,9395,138518,38367
"Pujalt",NA,6990,93602,26273
"Quar",NA,NA,NA,NA
"Quart",NA,NA,NA,NA
"Queralbs",NA,6438,49953,15527
"Querol",NA,8392,120794,32437
"Rabos",NA,11431,110550,33419
"Rajadell",NA,6093.375,84301,23054
"Rasquera",NA,12465,198138,55877
"Regencos",NA,10380,120549,37326
"Rellinars",NA,6305,89768,23805
"Renau",NA,NA,NA,NA
"Reus",NA,10108,154891,42651
"Rialp",NA,7163,98492,27701
"Riba",NA,NA,NA,NA
"Riba-roja d'Ebre",NA,11962,175837,50919.25
"Ribera d'Ondara",NA,7525,106862,30459
"Ribera d'Urgellet",NA,5827,65207,16066
"Ribes de Freser",NA,5194,41907,13167
"Riells i Viabrea",NA,8459,109225,34716
"Riera de Gaia",NA,9168,149024,41397
"Riner",NA,NA,NA,NA
"Ripoll",NA,5831,38829,12910
"Ripollet",NA,7224,107999,30481
"Riu de Cerdanya",NA,1752,12388,6332
"Riudarenes",NA,7985,101244,33330
"Riudaura",NA,7996,60231,20607
"Riudecanyes",NA,10807,165027,45158
"Riudecols",NA,10865,162746,44768
"Riudellots de la Selva",NA,8178,103120,34308
"Riudoms",NA,10179,158345,43629
"Riumors",NA,9940.875,102060,31085
"Roca del Valles",NA,7917,106049,32172
"Rocafort de Queralt",NA,8548,119752,33256
"Roda de Bera",NA,9129,141724,40057
"Roda de Ter",NA,6289,67813,23951
"Rodonya",NA,9113,138001,38103
"Roquetes",NA,12794,212191,59536
"Roses",NA,NA,NA,NA
"Rossello",NA,NA,144053,NA
"Rourell",NA,9853,145919,39776
"Rubi",NA,NA,NA,NA
"Rubio",NA,NA,NA,NA
"Rupia",NA,NA,NA,NA
"Rupit i Pruit",NA,8158,81139,26408
"Sabadell",NA,NA,NA,NA
"Sagas",NA,NA,NA,NA
"Salas de Pallars",NA,8714,113994,32349
"Saldes",NA,4063.625,50590,8741.875
"Sales de Llierca",NA,8395,74181,23903
"Sallent",NA,4859,66657,17308
"Salomo",NA,NA,NA,NA
"Salou",NA,10060,161336,44496
"Salt",NA,NA,NA,NA
"Sanauja",NA,7445,90358,25483
"Sant Adria de Besos",NA,7493,114882,32674
"Sant Agusti de Llucanes",NA,5687,46468,16402
"Sant Andreu de la Barca",NA,7223,109922,28419
"Sant Andreu de Llavaneres",NA,8423,118099,38220
"Sant Andreu Salou",NA,8480,106471,34811
"Sant Aniol de Finestres",NA,8875,84885,28699
"Sant Antoni de Vilamajor",NA,8640,104058,32533
"Sant Bartomeu del Grau",NA,5608,57598,18621
"Sant Boi de Llobregat",NA,7819,120059,31338
"Sant Boi de Llucanes",NA,6009,51645,18134
"Sant Carles de la Rapita",NA,13104,218836,59666
"Sant Cebria de Vallalta",NA,8887,116171,38064
"Sant Celoni",NA,9307,110040,36011
"Sant Climent de Llobregat",NA,8847,124700,32920
"Sant Climent Sescebes",NA,10423.375,105598,32043
"Sant Cugat del Valles",NA,6858,110791,29680
"Sant Cugat Sesgarrigues",NA,7923,117262,32598
"Sant Esteve de la Sarga",NA,11195,133992,36915
"Sant Esteve de Palautordera",NA,8721,98956,32781
"Sant Esteve Sesrovires",NA,7090,105363,27004
"Sant Feliu de Buixalleu",NA,8051,104628,32768
"Sant Feliu de Codines",NA,7673,90130,25661
"Sant Feliu de Guixols",NA,9369,122716,39756
"Sant Feliu de Llobregat",NA,7852,118641,30956
"Sant Feliu de Pallerols",NA,7618,73397,24749
"Sant Feliu Sasserra",NA,5426,58491,17189.125
"Sant Ferriol",NA,9264,78367,24930
"Sant Fost de Campsentelles",NA,7470,107023,31346
"Sant Fruitos de Bages",NA,5166,74293,19453
"Sant Gregori",NA,8655,96665,32726
"Sant Guim de Freixenet",NA,7266,99258,28011
"Sant Guim de la Plana",NA,7290,93939,25960
