Codi,Literal,Homes,Dones,Total
081249,Mollet del Vallès,25180,25971,51151,
171077,Molló,167,180,347,
251364,"Molsosa, la",51,51,102,
081287,Monistrol de Calders,380,336,716,
081271,Monistrol de Montserrat,1637,1541,3178,
171096,Montagut i Oix,495,456,951,
430862,Montblanc,3771,3662,7433,
430884,Montbrió del Camp,1539,1446,2985,
081252,Montcada i Reixac,18179,18615,36794,
081304,Montclar,70,66,136,
251399,Montellà i Martinet,328,268,596,
081311,Montesquiu,525,523,1048,
251403,Montferrer i Castellbò,588,493,1081,
430897,Montferri,211,186,397,
251386,Montgai,346,309,655,
081265,Montgat,6036,6224,12260,
081326,Montmajor,236,236,472,
081332,Montmaneu,87,71,158,
430901,"Montmell, el",924,806,1730,
081350,Montmeló,4288,4510,8798,
251425,Montoliu de Lleida,259,234,493,
251410,Montoliu de Segarra,105,86,191,
251431,Montornès de Segarra,43,48,91,
081363,Montornès del Vallès,8482,8322,16804,
430918,Mont-ral,94,75,169,
171100,Mont-ras,851,821,1672,
430923,Mont-roig del Camp,6514,6175,12689,
081379,Montseny,189,173,362,
430939,Móra d'Ebre,2797,2788,5585,
430944,Móra la Nova,1562,1558,3120,
430957,"Morell, el",1918,1814,3732,
430960,"Morera de Montsant, la",87,76,163,
081290,Muntanyola,350,305,655,
081398,Mura,121,110,231,
251459,Nalec,46,42,88,
250254,Naut Aran,1013,928,1941,
081402,Navarcles,2972,3096,6068,
081419,Navàs,2951,3022,5973,
171117,Navata,698,736,1434,
251462,Navès,148,145,293,
081424,"Nou de Berguedà, la",94,82,176,
430976,"Nou de Gaià, la",304,312,616,
430982,Nulles,280,236,516,
251484,Odèn,149,104,253,
081430,Òdena,1896,1785,3681,
171122,Ogassa,133,107,240,
081458,Olèrdola,1989,1858,3847,
081461,Olesa de Bonesvalls,1004,919,1923,
081477,Olesa de Montserrat,12061,12071,24132,
251497,Oliana,929,928,1857,
251500,Oliola,108,93,201,
251517,Olius,519,443,962,
081483,Olivella,2129,1998,4127,
081496,Olost,578,612,1190,
171143,Olot,18284,18015,36299,
251522,"Oluges, les",92,77,169,
081445,Olvan,425,449,874,
251538,"Omellons, els",109,93,202,
251543,"Omells de na Gaia, els",71,56,127,
171156,Ordis,198,171,369,
251556,Organyà,378,388,766,
081509,Orís,174,165,339,
081516,Oristà,282,265,547,
081521,Orpí,78,76,154,
081537,Òrrius,397,382,779,
251569,Os de Balaguer,513,487,1000,
171169,Osor,225,201,426,
251575,Ossó de Sió,94,102,196,
081542,Pacs del Penedès,466,449,915,
081555,Palafolls,4840,4806,9646,
171175,Palafrugell,11471,11575,23046,
171181,Palamós,8887,9309,18196,
251581,"Palau d'Anglesola, el",1101,1104,2205,
171194,Palau de Santa Eulàlia,62,49,111,
171215,Palau-sator,171,152,323,
171208,Palau-saverdera,752,738,1490,
081568,Palau-solità i Plegamans,7294,7623,14917,
431009,"Pallaresos, els",2441,2431,4872,
081574,Pallejà,5799,5837,11636,
430995,"Palma d'Ebre, la",168,166,334,
089058,"Palma de Cervelló, la",1489,1526,3015,
171236,Palol de Revardit,219,227,446,
