"","municipi","hab"
"765","Sarrià de Ter",5231
"766","Sarroca de Bellera",120
"767","Sarroca de Lleida",357
"768","Saus, Camallera i Llampaies",865
"769","Savallà del Comtat",53
"770","Secuita",1728
"771","Selva de Mar",212
"772","Selva del Camp",5694
"773","Senan",42
"774","Sénia",5530
"775","Senterada",150
"776","Sentiu de Sió",426
"777","Sentmenat",9347
"778","Serinyà",1143
"779","Seròs",1923
"780","Serra de Daró",235
"781","Setcases",185
"782","Seu d'Urgell",12252
"783","Seva",3696
"784","Sidamon",755
"785","Sils",6349
"786","Sitges",30217
"787","Siurana",179
"788","Sobremunt",78
"789","Soleràs",337
"790","Solivella",640
"791","Solsona",9175
"792","Sora",211
"793","Soriguera",431
"794","Sort",2181
"795","Soses",1781
"796","Subirats",3149
"797","Sudanell",844
"798","Sunyer",334
"799","Súria",5923
"800","Susqueda",99
"801","Tagamanent",325
"802","Talamanca",222
"803","Talarn",489
"804","Talavera",287
"805","Tallada d'Empordà",466
"806","Taradell",6687
"807","Tarragona",135436
"808","Tàrrega",17649
"809","Tarrés",105
"810","Tarroja de Segarra",187
"811","Tavèrnoles",329
"812","Tavertet",113
"813","Teià",6532
"814","Térmens",1330
"815","Terrades",334
"816","Terrassa",223011
"817","Tiana",9009
"818","Tírvia",131
"819","Tiurana",73
"820","Tivenys",900
"821","Tivissa",1639
"822","Tona",8368
"823","Torà",1209
"824","Tordera",17788
"825","Torelló",14553
"826","Torms",145
"827","Tornabous",826
"828","Torre de Cabdella",765
"829","Torre de Claramunt",3852
"830","Torre de Fontaubella",128
"831","Torre de l'Espanyol",598
"832","Torrebesses",298
"833","Torredembarra",17057
"834","Torrefarrera",4702
"835","Torrefeta i Florejacs",602
"836","Torregrossa",2157
"837","Torrelameu",759
"838","Torrelavit",1429
"839","Torrelles de Foix",2479
"840","Torrelles de Llobregat",6126
"841","Torrent",160
"842","Torres de Segre",2381
"843","Torre-serona",383
"844","Torroella de Fluvià",726
"845","Torroella de Montgrí",12023
